अश्व,अश्वः,horse,noun,m,a,https://en.wiktionary.org/wiki/अश्व#Sanskrit
आचार्य,आचार्यः,teacher,noun,m,a,https://en.wiktionary.org/wiki/आचार्य#Sanskrit
गज," गजः",elephant,noun,m,a,https://en.wiktionary.org/wiki/गज#Sanskrit
ग्राम,ग्रामः,village,noun,m,a,https://en.wiktionary.org/wiki/ग्राम#Sanskrit
चन्द्र,चन्द्रः,moon,noun,m,a,https://en.wiktionary.org/wiki/चन्द्र#Sanskrit
नर,नरः,"man, person",noun,m,a,https://en.wiktionary.org/wiki/नर#Sanskrit
नृप,नृपः,king,noun,m,a,https://en.wiktionary.org/wiki/नृप#Sanskrit
पुत्र,पुत्रः,son,noun,m,a,https://en.wiktionary.org/wiki/पुत्र#Sanskrit
बाल,बालः,boy,noun,m,a,https://en.wiktionary.org/wiki/बाल#Sanskrit
मृग,मृगः,"deer, beast",noun,m,a,https://en.wiktionary.org/wiki/मृग#Sanskrit
राम,रामः,Rāma,noun,m,a,https://en.wiktionary.org/wiki/राम#Sanskrit
वीर,वीरः,"hero, husband",noun,m,a,https://en.wiktionary.org/wiki/वीर#Sanskrit
शिष्य,शिष्यः,student,noun,m,a,https://en.wiktionary.org/wiki/शिष्य#Sanskrit
सूर्य,सूर्यः,sun,noun,m,a,https://en.wiktionary.org/wiki/सूर्य#Sanskrit
हस्त,हस्तः,"hand, trunk (elephant)",noun,m,a,https://en.wiktionary.org/wiki/हस्त#Sanskrit
गच्छति,गम्,"to go",verb,,1P,https://en.wiktionary.org/wiki/गच्छति#Sanskrit
आगच्छति,आ+गम्,"to come",verb,,1P,https://en.wiktionary.org/wiki/आगच्छति#Sanskrit
जयति,जि,"to conquer",verb,,1P,https://en.wiktionary.org/wiki/जयति#Sanskrit
पठति,पठ्,"to read",verb,,1P,https://en.wiktionary.org/wiki/पठति#Sanskrit
पश्यति,"पश् / दृश्","to see",verb,,1P,https://en.wiktionary.org/wiki/पश्यति#Sanskrit
पृच्छति,प्रछ्,"to ask",verb,,1P,https://en.wiktionary.org/wiki/पृच्छति#Sanskrit
भवति,भू,"to become, to be",verb,,6P,https://en.wiktionary.org/wiki/भवति#Sanskrit
वदति,वद्,"to speak, to say",verb,,1P,https://en.wiktionary.org/wiki/वदति#Sanskrit
वसति,वस्,"to live, to reside",verb,,1P,https://en.wiktionary.org/wiki/वसति#Sanskrit
तिष्ठति,स्था,"to stand",verb,,1P,https://en.wiktionary.org/wiki/तिष्ठति#Sanskrit
स्मरति,स्मृ,"to remember",verb,,1P,https://en.wiktionary.org/wiki/स्मरति#Sanskrit
भाषते,भाष्,"to speak",verb,,1A,https://en.wiktionary.org/wiki/भाषते#Sanskrit
मन्यते,मन्,"to think",verb,,4A,https://en.wiktionary.org/wiki/मन्यते#Sanskrit
लभते,लभ्,"to obtain",verb,,1A,https://en.wiktionary.org/wiki/लभते#Sanskrit
सेवते,सेव्,"to serve",verb,,1A,:(
चिन्तयति,चिन्त्,"to think",verb,,10U,https://en.wiktionary.org/wiki/चिन्तयति#Sanskrit
अस्ति,अस्,"to be, to exist",verb,,2P,https://en.wiktionary.org/wiki/अस्ति#Sanskrit
असि,अस्,"(you) are",,,,
अस्मि,अस्,"(i) am",,,,
स्तः,अस्,"(those two) are",,,,
स्थः,अस्,"(you two) are",,,,
स्वः,अस्,"(we two) are",,,,
सन्ति,अस्,"(they all) are",,,,
स्थ,अस्,"(you all) are",,,,
स्मः,अस्,"(we all) are",,,,
अमृत,अमृतम्,immortality,noun,n,a,https://en.wiktionary.org/wiki/अमृत#Sanskrit
गृह,गृहम्,house,noun,n,a,https://en.wiktionary.org/wiki/गृह#Sanskrit
जल,जलम्,water,noun,n,a,https://en.wiktionary.org/wiki/जल#Sanskrit
ज्ञान,ज्ञानम्,"knowledge, conscience",noun,n,a,https://en.wiktionary.org/wiki/ज्ञान#Sanskrit
दुःख,दुःखम्,"suffering, sorrow",noun,n,a,https://en.wiktionary.org/wiki/दुःख#Sanskrit
पुस्तक,पुस्तकम्,book,noun,n,a,https://en.wiktionary.org/wiki/पुस्तक#Sanskrit
फल,फलम्,fruit,noun,n,a,https://en.wiktionary.org/wiki/फल#Sanskrit
वन,वनम्,forest,noun,n,a,https://en.wiktionary.org/wiki/वन#Sanskrit
शास्त्र,शास्त्रम्,scripture,noun,n,a,https://en.wiktionary.org/wiki/शास्त्र#Sanskrit
सत्य,सत्यम्,truth,noun,n,a,https://en.wiktionary.org/wiki/सत्य#Sanskrit
सुख,सुखम्,"happiness, ease",noun,n,a,https://en.wiktionary.org/wiki/सुख#Sanskrit
सूक्त,सूक्तम्,hymn,noun,n,a,https://en.wiktionary.org/wiki/सूक्त#Sanskrit
कुपित,,angry,adj,,,https://en.wiktionary.org/wiki/कुपित#Sanskrit
धार्मिक,,virtuous,adj,,,https://en.wiktionary.org/wiki/धार्मिक#Sanskrit
भीत,,afraid,adj,,,https://en.wiktionary.org/wiki/भीत#Sanskrit
सुन्दर,,beautiful,adj,,,https://en.wiktionary.org/wiki/सुन्दर#Sanskrit
अतीव,,very,ind,,,https://en.wiktionary.org/wiki/अतीव#Sanskrit
कुत्र,,where,ind,,,https://en.wiktionary.org/wiki/कुत्र#Sanskrit
अत्र,,here,ind,,,https://en.wiktionary.org/wiki/अत्र#Sanskrit
तत्र,,there,ind,,,https://en.wiktionary.org/wiki/तत्र#Sanskrit
अपि,,"also, too",ind,,,https://en.wiktionary.org/wiki/अपि#Sanskrit
अहो,,"aha, oh",ind,,,https://en.wiktionary.org/wiki/अहो#Sanskrit
इति,,"end of quote",ind,,,https://en.wiktionary.org/wiki/इति#Sanskrit
एव,,"only, ever",ind,,,https://en.wiktionary.org/wiki/एव#Sanskrit
कथम्,,how,ind,,,https://en.wiktionary.org/wiki/कथम्#Sanskrit
एवम्,,thus,ind,,,https://en.wiktionary.org/wiki/एवम्#Sanskrit
च,,and,ind,,,https://en.wiktionary.org/wiki/च#Sanskrit
न,,not,ind,,,https://en.wiktionary.org/wiki/न#Sanskrit
नाम,,"by name",ind,,,https://en.wiktionary.org/wiki/नाम#Sanskrit
पुनर्,,again,ind,,,https://en.wiktionary.org/wiki/पुनर्#Sanskrit
वा,,or,ind,,,https://en.wiktionary.org/wiki/वा#Sanskrit
विना,,without,ind,,,https://en.wiktionary.org/wiki/विना#Sanskrit
सह,,with,ind,,,https://en.wiktionary.org/wiki/सह#Sanskrit
विद्या,विद्या,knowledge,noun,f,ā,https://en.wiktionary.org/wiki/विद्या#Sanskrit
अविद्या,अविद्या,ignorance,noun,f,ā,https://en.wiktionary.org/wiki/अविद्या#Sanskrit
इव,,"like, as though",ind,,,https://en.wiktionary.org/wiki/इव#Sanskrit
कथा,कथा,story,noun,f,ā,https://en.wiktionary.org/wiki/कथा#Sanskrit
कन्या,कन्या,"maiden, girl",noun,f,ā,https://en.wiktionary.org/wiki/कन्या#Sanskrit
छाया,छाया,shadow,noun,f,ā,https://en.wiktionary.org/wiki/छाया#Sanskrit
पुत्रिका,पुत्रिका,daughter,noun,f,ā,:(
प्रजा,प्रजा,"subject (of a king), offspring",noun,f,ā,https://en.wiktionary.org/wiki/प्रजा#Sanskrit
बाला,बाला,girl,noun,f,ā,https://en.wiktionary.org/wiki/बाला#Sanskrit
भार्या,भार्या,wife,noun,f,ā,https://en.wiktionary.org/wiki/भार्या#Sanskrit
माला,माला,garland,noun,f,ā,https://en.wiktionary.org/wiki/माला#Sanskrit
सीता,सीता,"Sītā (wife of Rāma)",noun,f,ā,https://en.wiktionary.org/wiki/सीता#Sanskrit
सेना,सेना,army,noun,f,ā,https://en.wiktionary.org/wiki/सेना#Sanskrit
कुम्भीर,कुम्भीरः,crocodile,noun,m,a,:(
गङ्गा,गङ्गा,Ganges,noun,f,ā,https://en.wiktionary.org/wiki/गङ्गा#Sanskrit
मित्र,मित्रम्,friend,noun,n,a,https://en.wiktionary.org/wiki/मित्र#Sanskrit
वानर,वानरः,monkey,noun,m,a,https://en.wiktionary.org/wiki/वानर#Sanskrit
तट,तटः,riverbank,noun,m,a,https://en.wiktionary.org/wiki/तट#Sanskrit
नदी,नदी,river,noun,f,ī,https://en.wiktionary.org/wiki/नदी#Sanskrit
दिन,दिनः,day,noun,m,a,https://en.wiktionary.org/wiki/दिन#Sanskrit
प्रतिदिनम्,,"every day",ind,,,https://en.wiktionary.org/wiki/प्रतिदिनम्#Sanskrit
खादति,खाद्,"to eat, to devour",verb,,1P,https://en.wiktionary.org/wiki/खादति#Sanskrit
हृदय,हृदयम्,heart,noun,n,a,https://en.wiktionary.org/wiki/हृदय#Sanskrit
वृक्ष,वृक्षः,tree,noun,m,a,https://en.wiktionary.org/wiki/वृक्ष#Sanskrit
चोरयति,चुर्,"to steal",verb,,10U,https://en.wiktionary.org/wiki/चोरयति#Sanskrit
कश्चित्,,"someone, anyone",ind,,,https://en.wiktionary.org/wiki/कश्चित्#Sanskrit
अग्नि,अग्निः,fire,noun,m,i,https://en.wiktionary.org/wiki/अग्नि#Sanskrit
अतिथि,अतिथिः,guest,noun,m,i,https://en.wiktionary.org/wiki/अतिथि#Sanskrit
ऋषि,ऋषिः,"seer, sage",noun,m,i,https://en.wiktionary.org/wiki/ऋषि#Sanskrit
कवि,कविः,poet,noun,m,i,https://en.wiktionary.org/wiki/कवि#Sanskrit
कीर्ति,कीर्तिः,"glory, fame",noun,f,i,https://en.wiktionary.org/wiki/कीर्ति#Sanskrit
भूमि,भूमिः,earth,noun,f,i,https://en.wiktionary.org/wiki/भूमि#Sanskrit
शान्ति,शान्तिः,peace,noun,f,i,https://en.wiktionary.org/wiki/शान्ति#Sanskrit
सिद्ध,सिद्धः,"one who attains perfection",noun,m,a,https://en.wiktionary.org/wiki/सिद्ध#Sanskrit
सिद्धि,सिद्धिः,perfection,noun,f,i,https://en.wiktionary.org/wiki/सिद्धि#Sanskrit
पत्नी,पत्नी,wife,noun,f,ī,https://en.wiktionary.org/wiki/पत्नी#Sanskrit
वापी,वापी,pond,noun,f,ī,https://en.wiktionary.org/wiki/वापी#Sanskrit
कदा,,when,ind,,,https://en.wiktionary.org/wiki/कदा#Sanskrit
आनयति,"आ नी","to bring",verb,,1P,https://en.wiktionary.org/wiki/आनयति#Sanskrit
उपगच्छति,"उप गम्","to approach",verb,,1P,https://en.wiktionary.org/wiki/उपगच्छति#Sanskrit
गोपयति,गुप्,"to protect",verb,,1P,https://en.wiktionary.org/wiki/गोपयति#Sanskrit
नयति,नी,"to lead",verb,,1P,https://en.wiktionary.org/wiki/नयति#Sanskrit
पिबति,पा,"to drink",verb,,1P,https://en.wiktionary.org/wiki/पिबति#Sanskrit
प्रतिगच्छति,"प्रति गम्","to return",verb,,1P,https://en.wiktionary.org/wiki/प्रतिगच्छति#Sanskrit
बोधति,बुध्,"to know",verb,,1U,https://en.wiktionary.org/wiki/बोधति#Sanskrit
हसति,हस्,"to laugh",verb,,1P,https://en.wiktionary.org/wiki/हसति#Sanskrit
अवगच्छति,"अव गम्","to understand",verb,,1P,https://en.wiktionary.org/wiki/अवगच्छति#Sanskrit
उद्भवति,"उद् भू","to be born, to arise",verb,,1P,https://en.wiktionary.org/wiki/उद्भवति#Sanskrit
उत्तिष्ठति,"उद् स्था","to stand up",verb,,1P,https://en.wiktionary.org/wiki/उत्तिष्ठति#Sanskrit
रमते,रम्,"to enjoy, to delight",verb,,1A,https://en.wiktionary.org/wiki/रमते#Sanskrit
शोभते,शुभ्,"to shine",verb,,1P/A,https://en.wiktionary.org/wiki/शोभते#Sanskrit
स्मयते,स्मि,"to smile, to laugh",verb,,1A,https://en.wiktionary.org/wiki/स्मयते#Sanskrit
आत्मन्,,self,noun,m,an,https://en.wiktionary.org/wiki/आत्मन्#Sanskrit
कर्मन्,कर्म,action,noun,n,an,https://en.wiktionary.org/wiki/कर्मन्#Sanskrit
"कृष्ण (adj)",,black,adj,,,"https://en.wiktionary.org/wiki/कृष्ण (adj)#Sanskrit"
"कृष्ण (noun)",कृष्णः,Krishna,noun,m,a,"https://en.wiktionary.org/wiki/कृष्ण (noun)#Sanskrit"
नामन्,नाम,name,noun,n,an,https://en.wiktionary.org/wiki/नामन्#Sanskrit
प्रिय,,"dear, beloved",adj,,,https://en.wiktionary.org/wiki/प्रिय#Sanskrit
रमणीय,,"delightful, pleasant",adj,,,https://en.wiktionary.org/wiki/रमणीय#Sanskrit
राजन्,राजा,king,noun,m,an,https://en.wiktionary.org/wiki/राजन्#Sanskrit
शुक्ल,,white,adj,,,https://en.wiktionary.org/wiki/शुक्ल#Sanskrit
शोभन​,,"shining, beautiful",adj,,,https://en.wiktionary.org/wiki/शोभन​#Sanskrit
कर्तृ,कर्ता,"maker, doer",noun,m,ṛ,https://en.wiktionary.org/wiki/कर्तृ#Sanskrit
कुल,कुलम्,family,noun,n,a,https://en.wiktionary.org/wiki/कुल#Sanskrit
दातृ,दाता,giver,noun,m,ṛ,https://en.wiktionary.org/wiki/दातृ#Sanskrit
ददाति,दा,"to give",verb,,3U,https://en.wiktionary.org/wiki/ददाति#Sanskrit
पितृ,पिता,father,noun,m,ṛ,https://en.wiktionary.org/wiki/पितृ#Sanskrit
मातृ,माता,mother,noun,f,ṛ,https://en.wiktionary.org/wiki/मातृ#Sanskrit
भ्रातृ,भ्राता,brother,noun,m,ṛ,https://en.wiktionary.org/wiki/भ्रातृ#Sanskrit
स्वसृ,स्वसा,sister,noun,f,ṛ,https://en.wiktionary.org/wiki/स्वसृ#Sanskrit
अल्प,,little,adj,,,https://en.wiktionary.org/wiki/अल्प#Sanskrit
"गुरु (adj)",,heavy,adj,,,"https://en.wiktionary.org/wiki/गुरु (adj)#Sanskrit"
"गुरु (noun)",गुरुः,"guru, teacher",noun,m,u,"https://en.wiktionary.org/wiki/गुरु (noun)#Sanskrit"
धेनु,धेनुः,cow,noun,f,u,https://en.wiktionary.org/wiki/धेनु#Sanskrit
पूर्ण,,full,adj,,,https://en.wiktionary.org/wiki/पूर्ण#Sanskrit
बहु,,many,adj,,,https://en.wiktionary.org/wiki/बहु#Sanskrit
शत्रु,शत्रुः,enemy,noun,m,u,https://en.wiktionary.org/wiki/शत्रु#Sanskrit
शीघ्र,,swift,adj,,,https://en.wiktionary.org/wiki/शीघ्र#Sanskrit
हेतु,हेतुः,cause,noun,m,u,https://en.wiktionary.org/wiki/हेतु#Sanskrit
बिडाल,बिडालः,cat,noun,m,a,https://en.wiktionary.org/wiki/बिडाल#Sanskrit
